"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.255472978378702,0.303627855776477,0.336276774273991,0.348867565402594,0.385358555297108,0.518142119269105,0.0585521551124252
"Num_JM",0.247509851369779,0.293140892981371,0.334042328333515,0.34347052643916,0.377084350366055,0.585461364483716,0.0659077053242514
"Num_SubAF",0.154175226617021,0.231806026609781,0.302415042941432,0.317407587042864,0.393296961391345,0.727200895447375,0.120278146019974
"Num_SubAM",0.144769273304813,0.236846418806784,0.286002431034397,0.308866731842679,0.364035873649006,0.547290517347229,0.100359582177548
"Num_AF",0.900721961869233,0.995185956629703,1.05158483321806,1.09410790301595,1.15702212298983,1.53237489312019,0.13916618882949
"Num_AM",0.0162313137230203,0.025952605337819,0.0343491156381047,0.0342265277663899,0.0423768962520535,0.0538511915037735,0.0095133604606925
"Num_N",2.24932787167177,2.92954960272726,3.2936994999965,3.27449661128488,3.51864672028644,4.71565744566107,0.47671085155082
"Total_mortality",0.0296968125968258,0.0561694734554103,0.0754204521762011,0.0753991031350296,0.0960092923595133,0.125082536906118,0.0243457800029134
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0.0296968125968258,0.0561694734554103,0.0754204521762011,0.0753991031350296,0.0960092923595133,0.125082536906118,0.0243457800029134
"Quantity_liveweight_kg",440.912582915111,603.431226497492,709.716240777723,717.216714358874,813.32162404425,988.968601141547,128.819579079376
"Quantity_liveweight_kg_JF",11.3615268606049,28.8098651100122,35.3770993627892,36.1747747523918,42.8806488508523,64.1379426437827,10.3026718828864
"Quantity_liveweight_kg_JM",17.2097356969208,29.6247314189885,38.5457363248895,40.3536673575717,49.3080509399578,68.3544288991839,12.2452185195151
"Quantity_liveweight_kg_SubAF",23.7675122606586,38.7160102262644,52.891502447896,55.4378740907518,69.7687340133509,116.279995164416,22.7449486001066
"Quantity_liveweight_kg_SubAM",17.8964286148201,43.659283490547,59.157235971026,62.0693860944938,75.7813121196101,145.223663494147,26.283119191761
"Quantity_liveweight_kg_AF",160.819159028498,233.072275615067,260.037496928508,266.745920788356,294.509424542977,446.195593891827,54.5558279597328
"Quantity_liveweight_kg_AM",3.77783253160695,7.47361927382552,10.1583479925156,10.4061557581464,13.0511705794212,19.8580019882277,3.5082933780436
"Cumulative_draught_income",4352.06195752043,8965.65729353432,11842.7659040211,12432.725428233,15895.1128873101,22575.2222029642,4652.02511263732
"Quantity_meat_kg",13.2373525893809,26.2393903683945,31.475004330467,33.3090502847628,40.4705985896425,54.5216177012262,9.40158999998915
"Num_offtake",0.139051738023707,0.198459229135272,0.233375004613747,0.239809814791327,0.284994778961719,0.356863414226925,0.0558974849388202
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.0010799513514897,0.00227964929620662,0.00365034068836327,0.00420083758500805,0.00507091716330916,0.0136126143216453,0.00257863900708031
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0673354029522835,0.0718625096654367,0.0760573942383167,0.0789791464749023,0.0824413816487749,0.112677443803052,0.0097718121791796
"Num_offtake_AM",0.00404983844821769,0.00765999019168061,0.0102853006870438,0.0102823892578294,0.013093059139461,0.017057859846452,0.00332010297691634
"Offtake_liveweight_kg",26.4747051787617,52.478780736789,62.950008660934,66.6181005695256,80.941197179285,109.043235402452,18.8031799999783
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.20890047463822,0.36627888960242,0.611780139635726,0.732314658230726,0.954836844982223,2.35442036699797,0.463178743519848
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",11.7775067104666,16.9128803118817,18.7312711122123,19.2614785047412,21.3154227168133,33.339640493633,3.93703167002916
"Offtake_liveweight_kg_AM",0.977230734405917,2.21665258200276,3.07398752752989,3.132670923487,3.9748432412165,6.76529791505473,1.19284257868721
"Pop_growth",0.29898265271552,0.423194652277647,0.49159528286066,0.494921470200048,0.541495730341523,0.845791371943735,0.11114436837637
"Pop_growth_JF",-0.0537493022266299,0.115220115263369,0.196489767914414,0.183901361482823,0.245173078639127,0.327034857940287,0.0881938305148062
"Pop_growth_JM",-0.0633392175103249,0.146837308391427,0.217440736858989,0.193837010012931,0.254106141697285,0.381853499246161,0.0878121876187951
"Pop_growth_SubAF",-0.170713845548909,0.103915838280053,0.150888448325035,0.149939512228687,0.209457063496774,0.359196233259745,0.0913657746559949
"Pop_growth_SubAM",-0.0319768483586798,0.102550890761432,0.138650948176048,0.148471185091714,0.19711443057467,0.483283028390452,0.090832503880965
"Pop_growth_AF",-0.184193194917766,-0.103709489299099,-0.0755060116625079,-0.0582932969883222,-0.0304991618501834,0.192962699605233,0.068492199088552
"Pop_growth_AM",-0.138410607362353,-0.0984573654135952,-0.0745290493185969,-0.0747720291689929,-0.0546999635931573,-0.0172789299237271,0.0283579687561647
"Quantity_manure",1081.49900838639,1503.51129269419,1687.21677068812,1706.69530851189,1918.74681459767,2446.4461741225,272.486734632068
"Quantity_manure_JF",37.6593109038417,50.9792905695152,63.9638304268461,66.1873089204873,78.6139843996256,111.762795314305,18.3545348066468
"Quantity_manure_JM",37.1597009097049,48.4077670040087,59.8614426008176,64.373336087057,73.0242484168837,147.420944922844,21.0835964443602
"Quantity_manure_SubAF",29.3450311686051,58.1551551353183,85.5916162166822,98.7246685998518,120.977637863695,302.54786015762,55.5750613943924
"Quantity_manure_SubAM",30.4285058168167,65.3441175622127,87.9590063870309,95.8206856625877,118.546475392446,222.756014371078,43.5047565222865
"Quantity_manure_AF",595.422833344817,699.377287694093,745.546059833454,769.758897770497,805.909988644436,1193.92557553773,108.474298619315
"Quantity_manure_AM",16.5840683754968,29.5366972962287,41.1671763576576,40.6457110539382,51.8021404823134,66.726627385977,13.1474291596688
"Value_manure",540.749504193193,751.755646347095,843.608385344059,853.347654255943,959.373407298835,1223.22308706125,136.243367316034
"Value_manure_JF",18.8296554519209,25.4896452847576,31.9819152134231,33.0936544602437,39.3069921998128,55.8813976571526,9.17726740332339
"Value_manure_JM",18.5798504548524,24.2038835020043,29.9307213004088,32.1866680435285,36.5121242084419,73.7104724614219,10.5417982221801
"Value_manure_SubAF",14.6725155843026,29.0775775676591,42.7958081083411,49.3623342999259,60.4888189318477,151.27393007881,27.7875306971962
"Value_manure_SubAM",15.2142529084084,32.6720587811064,43.9795031935154,47.9103428312938,59.273237696223,111.378007185539,21.7523782611432
"Value_manure_AF",297.711416672409,349.688643847046,372.773029916727,384.879448885249,402.954994322218,596.962787768864,54.2371493096577
"Value_manure_AM",8.2920341877484,14.7683486481144,20.5835881788288,20.3228555269691,25.9010702411567,33.3633136929885,6.5737145798344
"Quantity_hides",0.0148484062984129,0.0280847367277051,0.0377102260881005,0.0376995515675148,0.0480046461797566,0.0625412684530592,0.0121728900014567
"Quantity_hides_SubAF",0,0,0,0,0,0,0
"Quantity_hides_SubAM",0,0,0,0,0,0,0
"Quantity_hides_AF",0,0,0,0,0,0,0
"Quantity_hides_AM",0.0148484062984129,0.0280847367277051,0.0377102260881005,0.0376995515675148,0.0480046461797566,0.0625412684530592,0.0121728900014567
"Value_hides",0.882352966761913,1.75544991022237,2.44514865921197,2.56333635248769,3.1288549606993,5.77437648273185,1.04680949515805
"Value_hides_SubAF",0,0,0,0,0,0,0
"Value_hides_SubAM",0,0,0,0,0,0,0
"Value_hides_AF",0,0,0,0,0,0,0
"Value_hides_AM",0.882352966761913,1.75544991022237,2.44514865921197,2.56333635248769,3.1288549606993,5.77437648273185,1.04680949515805
"Quantity_milk",438.261761232463,659.017812580365,738.361424627291,752.260581723018,813.195407623587,1236.77966450298,136.15415887765
"milk_ME_MJ",2016.00410166933,3031.48193786968,3396.46255328554,3460.39867592588,3740.6988750685,5689.1864567137,626.309130837189
"milk_DM_req",43.8261761232463,65.9017812580365,73.8361424627291,75.2260581723018,81.3195407623587,123.677966450298,13.615415887765
"Value_milk",13586.1145982063,20429.5521899913,22889.204163446,23320.0780334135,25209.0576363312,38340.1695995923,4220.77892520714
"Cumulative_dry_matter",4155.77258452576,5514.74634862364,6290.74304546742,6334.53408077221,7025.47324547568,9647.26306021541,1067.64733110704
"Cumulative_dry_matter_JF",153.052794424398,196.535358052103,252.71660414624,258.854308002902,312.719650300914,442.536096245439,72.2635070146916
"Cumulative_dry_matter_JM",158.460578913674,213.376775822355,253.859515368258,280.95804860905,320.274939557937,656.35688326234,93.2414517793472
"Cumulative_dry_matter_SubAF",116.256222783501,240.13637208799,362.135548119331,395.49739065345,482.314651235768,1225.84628683383,224.512923493533
"Cumulative_dry_matter_SubAM",140.6032349773,284.050310489177,385.704813731995,421.417245869923,546.510042791812,909.017358201683,188.529221463186
"Cumulative_dry_matter_AF",2076.66104921442,2306.84302731906,2424.1439171774,2512.87131717815,2629.09874564784,3661.69467327691,327.916754147421
"Cumulative_dry_matter_AM",65.5199749934986,121.277858019937,162.199664034453,161.906797309658,198.457653914362,259.903305629972,51.0026755629514
"Cumulative_Methane_Prod_KG",85.9075389227264,113.911696924908,129.996439153456,131.090355219152,145.34300958304,198.636921066771,22.3257470841178
"Cumulative_Methane_Prod_KG_JF",3.19269281297024,4.06473636178385,5.25790221171582,5.35865066293274,6.4840445700103,9.23572417640838,1.49772426300211
"Cumulative_Methane_Prod_KG_JM",3.30221672311504,4.39893502356803,5.26648107243494,5.8129496531297,6.7246405328192,13.4283157052942,1.92981993803654
"Cumulative_Methane_Prod_KG_SubAF",2.39514257122014,4.9299491116389,7.51502006825415,8.1959793838951,9.93509157807429,25.631564239269,4.68389243407919
"Cumulative_Methane_Prod_KG_SubAM",2.84046854559484,5.81703513030792,8.07844555996465,8.71491234660533,11.2520150507166,18.5889686040458,3.87293788005314
"Cumulative_Methane_Prod_KG_AF",41.9843594540845,46.9722886303558,50.0501187944394,51.9244986396066,54.5026744075657,76.0263819151122,7.00801357179243
"Cumulative_Methane_Prod_KG_AM",1.36569914925617,2.51134924631135,3.35529720801093,3.35571518389749,4.15269789336745,5.34136298129202,1.05270220079926
"Feed_required_KG",4647.67146827006,6129.40689370721,7011.87376969794,7042.75409545753,7839.83052365615,10797.1778365274,1189.97786703625
"Feed_required_KG_JF",166.515583604997,218.805163826789,279.072547530423,286.828918054856,343.128218101699,487.110296647528,78.9640135780367
"Feed_required_KG_JM",169.44221298957,234.141355084984,282.80565710546,311.798543504443,364.47555708749,727.810012745127,104.281003532014
